Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Central Europe and the Baltics,CEB,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.17402209,28.05783303,25.4814334,24.1294705,26.79766789,20.63886739,21.66654062,20.41278267,20.91499356,24.90261888,25.75779119,25.3359468,25.08605547,25.9325119,25.83296849,27.37282749,26.2854786,25.71378435,26.46814892,26.39052272,26.66454352,27.13272994,27.1717903,26.96417704,26.88466679,27.44651843,27.18284733,28.08485793,28.74040383,29.83859031
Switzerland,CHE,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,18.119906,17.66381788,18.38058737,18.75363049,18.59711682,17.8123604,15.25816161,15.14044064,15.03346411,12.63863216,11.54981712,11.47207261,16.78922331,16.92364951,16.97223677,16.2197545,15.8500005,15.31447692,15.68091815,15.99960574,17.44694014,17.26316886,15.90864994,16.95366386,17.61572709,13.47053286,12.91287813,13.29651317,12.39898451,12.69432705,12.87439256,13.56771229,12.1331598,11.67766748,11.41870379,12.15043581,12.4555548,12.30114188,10.6349299,9.716876702,10.75701898,11.22460367,11.21436801,10.92572651,12.19995718,14.68116346
Channel Islands,CHI,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,40.50632911,39.49640288,36.46437995,49.58810069,44.26611797,33.34975369,31.84257603,33.92776524,36.28306878,40.27419355,43.24521866,33.92849994,36.79029532,42.30102139,35.58261458,39.98431987,37.8604019,40.92261905,37.36596546,41.31842686,36.7509003,47.22497729,47.84155929,49.49252947,53.93372468,54.76059061,56.34927213,51.08841064,54.33653001,57.25028142,62.08551692,61.08820648,58.64946864,61.92611002,57.19961742,60.58911166,59.82279698,58.17123309,56.18863607,50.8412636,39.68648925,37.49708429,37.83166614,38.70079842,40.73105614,48.13480223,53.26375013,49.27526598
China,CHN,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,53.02907916,54.37956204,45.02335609,44.51282051,36.40642303,31.77415545,43.67718704,38.94878706,47.07724426,29.29778555,22.82608696,17.55822416,18.82719824,18.18826519,14.92682452,5.140471427,3.688084281,3.666277819,4.68096785,5.168606985,5.618899313,13.79350613,15.31778106,19.78417047,22.47809247,23.24288522,23.62014895,16.52523119,19.28610237,17.75882294,19.3992854,18.29429174,17.53560392,17.84008902,16.32645775,17.64313488,18.249378,19.0191128,25.04200695,38.06733669,39.89530131
Cote d'Ivoire,CIV,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.60328007,24.8144559,23.70386674,23.8480367,23.81561151,23.02068804,16.99186734,16.7031203,17.56628606,18.62974442,25.67121739,25.90004203,26.19006984,34.04992203,34.95705497,42.72996285,42.65126559,
Cameroon,CMR,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,55.41655647,45.96799639,57.18391639,55.76437016,50.31325555,52.3435079,44.24125514,43.3771085,50.95786188,53.48115885,50.34261983,62.93974771,38.48846787,42.5529798,49.6202984,40.15640274,33.17775185,38.76824285,48.32603125,29.62221893,24.96924254,23.34388961,23.18187429,20.20434071,19.88673412,12.71307348,39.68322394,31.73382381,49.5944657,55.83927957,49.92211484,40.8336589,42.98561084,38.56687582,30.32559251,34.6940222,30.5209507,31.35446836,32.25200915,30.80977872,32.12152252,33.20735694,32.04705968,36.5920251,36.23019553,
"Congo, Dem. Rep.",COD,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.785332315,1.234003656,8.606395578,8.207630878,10.03446955,30.50206327,35.10116493,40.62640217,55.08487367,56.3755572,79.70181698,75.51943161,58.35016561,20.77584903,16.14049683,20.4414124,13.87335186,
"Congo, Rep.",COG,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,,,,,,,,,,,57.94591061,68.94314869,49.14944211,60.61030177,69.85552473,65.53844449,71.99396922,72.0605939,73.96939989,62.69762496,65.61901868,54.56896552,53.93258427,59.56284153,61.26760563,54.38596491,58.51851852,52.19162457,30.29424224,56.44042656,11.51787204,21.8998438,25.85492956,29.0744948,23.59815209,17.05498602,17.25206612,4.775022957,5.02283105,33.07214062,28.72580543,23.8040667,26.61450784,11.31162866,22.59359658,24.89636338,30.29722488,17.96472137,59.33176112,,,34.9920272,33.51935956,,
Colombia,COL,Transport services (% of commercial service exports),TX.VAL.TRAN.ZS.WT,,,,,,,,,43.57142857,49.36416185,48.5026738,48.16037736,45.2970297,46.73913043,46.92567568,39.54305016,45.10821695,39.35583526,39.01370833,30.07394307,32.28736724,42.08365972,32.80284478,46.36141636,42.65260821,43.75,35.31481481,39.61130742,35.02911208,35.60702875,31.26614987,33.53246753,33.30745743,39.58401172,33.75362717,35.71084374,28.6738748,31.95087502,34.08076721,33.25453628,29.63703453,26.46932169,29.1531009,32.60077477,28.2936673,26.72949161,24.79294074,26.5473066,23.25706988,22.14995126,21.66046112,25.24866991,22.16147821,23.24178972,23.26526509,21.3457588,20.96637949,19.36522534,18.62303035,19.57514987,21.45517271,18.04345466,17.65356634
